user_id,cohort_recharge_date,propensity_score,score_decile
100273,2026-01-27,0.996355407255681,1
100576,2026-01-27,0.9959378802655764,1
100515,2026-01-27,0.995381727610012,1
101352,2026-01-27,0.9950369459202492,1
100802,2026-01-27,0.9949779714631154,1
101024,2026-01-27,0.994953790196615,1
101315,2026-01-27,0.994732931592351,1
100399,2026-01-27,0.9946595801237635,1
100210,2026-01-27,0.9946427252908029,1
101478,2026-01-27,0.9945763806601827,1
101480,2026-01-27,0.9944230697721068,1
100375,2026-01-27,0.9940474065877593,1
101166,2026-01-27,0.99373092089422,1
100215,2026-01-27,0.9935896585735129,1
101251,2026-01-27,0.9935456885804099,1
101122,2026-01-27,0.9933928645778162,1
101413,2026-01-27,0.9932075277925175,1
101071,2026-01-27,0.9931024827675319,1
100830,2026-01-27,0.9930583116678563,1
101279,2026-01-27,0.9929836668540322,1
100819,2026-01-27,0.9929534035991044,1
100736,2026-01-27,0.9928148459228434,1
101474,2026-01-27,0.9927443311288289,1
101334,2026-01-27,0.9925961493986094,1
101012,2026-01-27,0.992524815937685,1
100145,2026-01-27,0.9925056537340635,1
101479,2026-01-27,0.9925027700914617,1
100247,2026-01-27,0.9922817225951371,1
100460,2026-01-27,0.9922564425036396,1
101386,2026-01-27,0.992250115997358,1
100209,2026-01-27,0.9921812647172731,1
101356,2026-01-27,0.9920991358722392,1
101447,2026-01-27,0.9920930487004838,1
101261,2026-01-27,0.991873726359844,1
101317,2026-01-27,0.9917935057608954,1
100507,2026-01-27,0.9916545358299148,1
100930,2026-01-27,0.9914770939518275,1
101004,2026-01-27,0.9914713141921816,1
100192,2026-01-27,0.9913854945914476,1
100719,2026-01-27,0.9913047848023397,1
101019,2026-01-27,0.9910372971060507,1
100912,2026-01-27,0.9909938872447718,1
101247,2026-01-27,0.990962526343927,1
100981,2026-01-27,0.9909378054806638,1
101081,2026-01-27,0.9908037234759091,1
100622,2026-01-27,0.9907692965131387,1
100468,2026-01-27,0.9907539389713192,1
100187,2026-01-27,0.990721969929183,1
100727,2026-01-27,0.9907117891713687,1
100602,2026-01-27,0.9906087884748187,1
100367,2026-01-27,0.9903138523485167,1
100937,2026-01-27,0.9902155005771339,1
100332,2026-01-27,0.9901452914965878,1
100625,2026-01-27,0.9900772158500205,1
101281,2026-01-27,0.9900340747289578,1
100530,2026-01-27,0.9899331325248789,1
101453,2026-01-27,0.9898402150192026,1
100786,2026-01-27,0.9898317123812289,1
100263,2026-01-27,0.9896262541948465,1
101291,2026-01-27,0.9895071460290349,1
100906,2026-01-27,0.9893469255815874,1
100050,2026-01-27,0.9892978150806112,1
101268,2026-01-27,0.9892844706336515,1
100771,2026-01-27,0.9892694091947751,1
101349,2026-01-27,0.9890809301480423,1
100047,2026-01-27,0.9888505924646683,1
101390,2026-01-27,0.9887036517330433,1
100933,2026-01-27,0.9885382765200343,1
100478,2026-01-27,0.9884941435560914,1
100794,2026-01-27,0.988252934513003,1
100409,2026-01-27,0.9881989221520652,1
100128,2026-01-27,0.9879520783985003,1
101297,2026-01-27,0.9879135692134111,1
100070,2026-01-27,0.9875040442065012,1
100761,2026-01-27,0.9869425082738787,1
